Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp,Kota,combined_features
Jatinangor House,Kafe,"Jl. Manggarai Selatan I No. 25, Tebet, Jakarta Selatan",50000,4.13,2025-06-03 22:29:08.710886,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Tom Tom Kitchen,Thailand,"Grand Indonesia Mall, Lantai 5, Sky Bridge
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,3.94,2025-06-03 22:29:09.006792,Jakarta Pusat,Thailand Thailand Jakarta Pusat
NAMELAKA,"Toko Kue,Kafe","Jl. Boulevard Raya Blok WB2 No. 14, Kelapa Gading, Jakarta Utara",75000,4.07,2025-06-03 22:29:09.297190,Jakarta Utara,"Toko Kue,Kafe Toko Kue,Kafe Jakarta Utara"
Pancious,Italia,"Senayan City, Lantai 5
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,3.97,2025-06-03 22:29:09.591814,Jakarta Selatan,Italia Italia Jakarta Selatan
Wu Fuk Noodle House,China,"Ruko Metro Sunter
Jl. Danau Sunter Utara Blok B No. 22, Sunter, Jakarta Utara",50000,4.01,2025-06-03 22:29:09.851114,Jakarta Utara,China China Jakarta Utara
Fukuro,Jepang,"Fairgrounds, SCBD Lot 14
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.09,2025-06-03 22:29:10.104316,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Essel,Korea,"Ruko Crown Golf, Blok A No. 30, Bukit Golf Mediterania
Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.48,2025-06-03 22:29:10.366674,Jakarta Utara,Korea Korea Jakarta Utara
Apron Signature,Kafe,"Ruko Great Wall, Blok C No. 1, Green Lake City
Jl. Green Lake City Boulevard, Cengkareng, Jakarta Barat",75000,4.48,2025-06-03 22:29:10.660076,Jakarta Barat,Kafe Kafe Jakarta Barat
Amigos Bar  Cantina,Meksiko,"Hero Kemang, Kemang Club Villas, Lantai 2
Jl. Kemang Selatan I, Kemang, Jakarta Selatan",150000,4.01,2025-06-03 22:29:10.951793,Jakarta Selatan,Meksiko Meksiko Jakarta Selatan
Kataramen,Jepang,"Jl. Tebet Timur Dalam II No. 38A, Tebet, Jakarta Selatan",75000,3.99,2025-06-03 22:29:11.257253,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Roast Coffee,Kafe,"Jl. KH. Zainul Arifin No. 20, Gajah Mada, Jakarta Pusat",50000,3.99,2025-06-03 22:29:11.559285,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Haagen  Dazs,Es Krim,"Puri Indah Mall Expansion, Lantai Ground
Jl. Puri Indah Raya, Puri, Jakarta Barat",75000,4.04,2025-06-03 22:29:15.327788,Jakarta Barat,Es Krim Es Krim Jakarta Barat
McDonalds Ice Cream,Es Krim,"Mal Kelapa Gading 3, Lantai 3, Food Temptation
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",50000,4.13,2025-06-03 22:29:15.625758,Jakarta Utara,Es Krim Es Krim Jakarta Utara
Song Fa Bak Kut Teh,China,"Puri Indah Mall, Lantai 2
Jl. Puri Indah Raya, Puri, Jakarta Barat",75000,4.11,2025-06-03 22:29:15.927804,Jakarta Barat,China China Jakarta Barat
Fei Cai Lai Cafe,China,"Hublife, Lantai 1
Jl. Tanjung Duren Timur No. 2, Tanjung Duren, Jakarta Barat",75000,4.13,2025-06-03 22:29:16.211069,Jakarta Barat,China China Jakarta Barat
Kilo Kitchen,Barat,"ASHTA District 8, Lantai Ground
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",150000,3.98,2025-06-03 22:29:16.515501,Jakarta Selatan,Barat Barat Jakarta Selatan
Seo Seo Galbi,Korea,"Ruko Crown Golf, Blok A No. 31, Bukit Golf Mediterania
Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.03,2025-06-03 22:29:16.827919,Jakarta Utara,Korea Korea Jakarta Utara
Kopi Toko Djawa,Kafe,"Jl. H. Agus Salim No. 60, Menteng, Jakarta Pusat",50000,4.01,2025-06-03 22:29:17.133159,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Fieholics,Kafe,"Jl. Bendungan Hilir Gg. IV No. 11, Bendungan Hilir, Jakarta Pusat",75000,4.18,2025-06-03 22:29:17.418340,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Pan  Co,Kafe,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.2,2025-06-03 22:29:17.725515,Jakarta Barat,Kafe Kafe Jakarta Barat
La Ricchi Ice Cream,Es Krim,"Emporium Pluit Mall, Lantai 4, Food Empire
Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara",50000,4.06,2025-06-03 22:29:18.033248,Jakarta Utara,Es Krim Es Krim Jakarta Utara
OMG Oh My Grill,Korea,"Jl. Kemang Raya No. 3, Kemang, Jakarta Selatan",150000,4.37,2025-06-03 22:29:18.316787,Jakarta Selatan,Korea Korea Jakarta Selatan
Monsieur Spoon,Kafe,"Mal Kelapa Gading 1, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",150000,4.37,2025-06-03 22:29:18.617728,Jakarta Utara,Kafe Kafe Jakarta Utara
Saline Bay,Indonesia,"Jl. Danau Sunter Selatan Blok O4 No. 24, Sunter, Jakarta Utara",150000,4.4,2025-06-03 22:29:22.330044,Jakarta Utara,Indonesia Indonesia Jakarta Utara
Emji Coffee Bar,Kafe,"Graha Mediterania Group
Jl. Pluit Selatan Raya No. 8A, Pluit, Penjaringan, Jakarta Utara",50000,4.27,2025-06-03 22:29:22.617817,Jakarta Utara,Kafe Kafe Jakarta Utara
Kopi Mandja,Kafe,"Jl. Hang Tuah Raya No. 7, Kebayoran Baru, Jakarta Selatan",50000,4.32,2025-06-03 22:29:23.241558,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Vegetus Vegetarian,Vegetarian,"Jl. Pluit Karang Indah Timur Blok O8 No. 38 - 39, Muara Karang, Penjaringan, Jakarta Utara",75000,4.24,2025-06-03 22:29:23.543415,Jakarta Utara,Vegetarian Vegetarian Jakarta Utara
The RR Chocolate,Kafe,"La Piazza, Gafoy
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",150000,4.2,2025-06-03 22:29:23.841405,Jakarta Utara,Kafe Kafe Jakarta Utara
Nasi Kapau Langganan,Indonesia,"Jl. Bangka Raya No. 103A, Kemang, Jakarta Selatan",50000,4.15,2025-06-03 22:29:24.141747,Jakarta Selatan,Indonesia Indonesia Jakarta Selatan
July Cafe,Kafe,"Jl. Sedayu City Kelapa Gading Blok E No. 7 - 8, Kelapa Gading, Jakarta Utara",150000,4.34,2025-06-03 22:29:24.448537,Jakarta Utara,Kafe Kafe Jakarta Utara
Tokio Sushi,Jepang,"Gandaria City, Lantai Lower Ground
Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",75000,4.13,2025-06-03 22:29:24.729635,Jakarta Selatan,Jepang Jepang Jakarta Selatan
King Claypot,China,"Jl. Kelapa Hibrida Raya Blok RA3 No. 25, Kelapa Gading, Jakarta Utara",75000,4.04,2025-06-03 22:29:25.023056,Jakarta Utara,China China Jakarta Utara
Starbucks,Kafe,"Universitas Tarumanagara 1
Jl. Letjen S. Parman No. 1, Grogol, Jakarta Barat",75000,4.13,2025-06-03 22:29:25.325466,Jakarta Barat,Kafe Kafe Jakarta Barat
Lao Lao Huo Guo,China,"Jl. Pesanggrahan No. 168, Puri, Jakarta Barat",150000,4.08,2025-06-03 22:29:25.626294,Jakarta Barat,China China Jakarta Barat
Kitchenette,"Barat,Italia","Pacific Place Mall, Lantai 1
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.08,2025-06-03 22:29:29.348478,Jakarta Selatan,"Barat,Italia Barat,Italia Jakarta Selatan"
First Love Patisserie,Toko Kue,"Pondok Indah Mall 1, Lantai 1, Food Court Area 51
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",50000,4.34,2025-06-03 22:29:29.648101,Jakarta Selatan,Toko Kue Toko Kue Jakarta Selatan
Waha Kitchen  Kosenda Hotel,Indonesia,"Kosenda Hotel
Jl. KH Wahid Hasyim No. 127, Tanah Abang, Jakarta Pusat",150000,4.09,2025-06-03 22:29:29.945462,Jakarta Pusat,Indonesia Indonesia Jakarta Pusat
Jonbons Coffee  Eatery,Kafe,"Jl. Arteri Kelapa Gading Blok B1 No. 12, Kelapa Gading, Jakarta Utara",75000,4.01,2025-06-03 22:29:30.241522,Jakarta Utara,Kafe Kafe Jakarta Utara
Sushi Tei,Jepang,"Pacific Place Mall, Lantai 5
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.11,2025-06-03 22:29:30.535944,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Seribu Rasa,Indonesia,"Lotte Mall Jakarta, Lantai 3
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",150000,4.18,2025-06-03 22:29:30.839981,Jakarta Selatan,Indonesia Indonesia Jakarta Selatan
Irotikay,Jepang,"Humble House
Jl. Wijaya II No. 123, Wijaya, Kebayoran Baru, Jakarta Selatan",75000,4.11,2025-06-03 22:29:31.125347,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Ratio Coffee Brewers,Kafe,"Ruko Mall of Indonesia, Blok J No. 9
Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",150000,4.15,2025-06-03 22:29:31.436213,Jakarta Utara,Kafe Kafe Jakarta Utara
Paris Baguette,Kafe,"Senayan City, Lantai Lower Ground
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,4.11,2025-06-03 22:29:31.740369,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Paris Baguette,Kafe,"ASHTA District 8, Lantai Ground
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.02,2025-06-03 22:29:32.038351,Jakarta Selatan,Kafe Kafe Jakarta Selatan
New Cahaya Lestari,China,"Ruko Inkopal, Blok C No. 81 - 82
Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",150000,4.04,2025-06-03 22:29:32.345275,Jakarta Utara,China China Jakarta Utara
Sentosa Seafood,Indonesia,"Jl. Lingkar Luar Barat (Depan Marketing Gallery Puri Mansion), Puri, Jakarta Barat",75000,3.99,2025-06-03 22:29:32.642077,Jakarta Barat,Indonesia Indonesia Jakarta Barat
Meradelima Restaurant,Indonesia,"Jl. Adityawarman No. 47, Melawai, Kebayoran Baru, Jakarta Selatan",75000,4.05,2025-06-03 22:29:36.348148,Jakarta Selatan,Indonesia Indonesia Jakarta Selatan
