Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp
Jia Dining - Hotel Shangri-La Jakarta,China,"Hotel Shangri-La Jakarta, Lantai 1
Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,4.28,2025-06-03 22:22:04.381496
Satu Meja,Kafe,"Jl. Tanjung Duren Utara IV No. 464, Tanjung Duren, Jakarta Barat",75000,4.28,2025-06-03 22:22:04.648899
/Grams Crafted Grill & Smoke,Barat,"Jl. Senopati No. 46 (Lantai 2), Senopati, Kebayoran Baru, Jakarta Selatan",200000,4.33,2025-06-03 22:22:04.904734
Coffee & Thyme,Kafe,"Jl. Tebet Timur Dalam Raya No. 53C, Tebet, Jakarta Selatan",75000,4.32,2025-06-03 22:22:05.155784
Harlan + Holden Because Coffee,Kafe,"Pacific Place Mall, Lantai 1
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",75000,4.21,2025-06-03 22:22:08.839963
Edogin - Hotel Mulia,Jepang,"Hotel Mulia, Lantai Ground
Jl. Asia Afrika, Senayan, Jakarta Selatan",200000,4.39,2025-06-03 22:22:09.091917
The Cafe - Hotel Mulia,"Barat, Indonesia, Jepang","Hotel Mulia, Lantai Ground
Jl. Asia Afrika, Senayan, Jakarta Selatan",200000,4.27,2025-06-03 22:22:09.331929
Teazzi,Minuman,"Pacific Place Mall, Lantai Basement 1
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",50000,4.51,2025-06-03 22:22:09.583619
Thien Thien Lai,China,"Pancoran Chinatown Point, Lantai Ground
Jl. Pancoran No. 42A, Glodok, Jakarta Barat",150000,4.44,2025-06-03 22:22:09.841814
Momo Paradise,Jepang,"Ruko Crown Golf, Blok D No. 18 - 19, Bukit Golf Mediterania
Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",200000,4.26,2025-06-03 22:22:10.105086
Taqueria Sansrise,Meksiko,"Jl. Tebet Barat Raya No. 49, Tebet, Jakarta Selatan",75000,4.38,2025-06-03 22:22:10.377777
Social House,"Barat,Indonesia","Grand Indonesia Mall, Lantai 1, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.19,2025-06-03 22:22:10.641647
Bruen Coffee & Kitchen,Kafe,"Jl. D. I. Panjaitan No. 46, Jatinegara, Jakarta Timur",150000,4.25,2025-06-03 22:22:10.906052
Sun City Restaurant - Sun City Hotel,China,"LTC Glodok, Lantai 5, Sun City Hotel
Jl. Hayam Wuruk No. 127, Hayam Wuruk, Jakarta Pusat",200000,4.21,2025-06-03 22:22:11.170581
Li Feng - Mandarin Oriental Hotel,China,"Mandarin Oriental Hotel, Lantai 2
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.29,2025-06-03 22:22:11.426703
Scarlett's Cafe,Kafe,"Ruko Golf Island, Blok L No. 31
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.23,2025-06-03 22:22:11.701092
Okuzono Japanese Dining,Jepang,"Jl. Suryo No. 1, Senopati, Kebayoran Baru, Jakarta Selatan",200000,4.19,2025-06-03 22:22:15.402641
Scarlett's Cafe,Kafe,"Jl. Tulodong Bawah No. 2A, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.24,2025-06-03 22:22:15.655240
Sinamon,Kafe,"Jl. Cikajang No. 48, Senopati, Kebayoran Baru, Jakarta Selatan",50000,4.23,2025-06-03 22:22:15.931989
Toodz House,Kafe,"Jl. Karang Tengah Raya No. 20, Lebak Bulus, Jakarta Selatan",75000,4.36,2025-06-03 22:22:16.053483
Semesta by Remboelan,Indonesia,"ASHTA District 8, Lantai Upper Ground
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",75000,4.4,2025-06-03 22:22:16.140971
Magal Korean BBQ,Korea,"Ciffest, Citra Garden 6, Blok L7C
Jl. Raya Citra Garden 6, Cengkareng, Jakarta Barat",200000,4.4,2025-06-03 22:22:16.224153
Sushi Hiro,Jepang,"Jl. Pluit Putra Raya No. 12A, Pluit, Penjaringan, Jakarta Utara",150000,4.23,2025-06-03 22:22:16.482465
Baby Face Planets,Jepang,"Jl. Pluit Sakti Raya No. 22, Pluit, Penjaringan, Jakarta Utara",150000,4.28,2025-06-03 22:22:16.737512
Kyta Koffee,Kafe,"Jl. Pluit Kencana No. 16, Pluit, Penjaringan, Jakarta Utara",75000,4.51,2025-06-03 22:22:16.999922
Bajawa Flores,Kafe,"Jl. Tebet Timur Dalam Raya No. 37, Tebet, Jakarta Selatan",75000,4.26,2025-06-03 22:22:17.163704
SATURDAYS,Kafe,"Grand Indonesia Mall, Lantai 3A, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",75000,4.28,2025-06-03 22:22:17.280145
Acaraki,Kafe,"Gedung Kerta Niaga 3
Jl. Kali Besar Timur, Kota, Jakarta Barat",75000,4.32,2025-06-03 22:22:17.525158
Firstly Coffee,Kafe,"Jl. Kemanggisan Raya No. 84B, Kemanggisan, Jakarta Barat",50000,4.34,2025-06-03 22:22:21.398935
